updated,date through,zipcode,confirmed_cases
2020-04-08,2020-04-06,92065,9
2020-04-08,2020-04-06,92066,2
2020-04-08,2020-04-06,92067,12
2020-04-08,2020-04-06,92069,10
2020-04-08,2020-04-06,92071,15
2020-04-08,2020-04-06,92075,4
2020-04-08,2020-04-06,92078,12
2020-04-08,2020-04-06,92081,10
2020-04-08,2020-04-06,92082,3
2020-04-08,2020-04-06,92083,6
2020-04-08,2020-04-06,92084,10
2020-04-08,2020-04-06,92085,1
2020-04-08,2020-04-06,92091,2
2020-04-08,2020-04-06,92093,4
2020-04-08,2020-04-06,92101,37
2020-04-08,2020-04-06,92102,20
2020-04-08,2020-04-06,92103,67
2020-04-08,2020-04-06,92104,36
2020-04-08,2020-04-06,92105,37
2020-04-08,2020-04-06,92106,9
2020-04-08,2020-04-06,92107,3
2020-04-08,2020-04-06,92108,15
2020-04-08,2020-04-06,92109,25
2020-04-08,2020-04-06,92110,17
2020-04-08,2020-04-06,92111,18
2020-04-08,2020-04-06,92113,38
2020-04-08,2020-04-06,92114,30
2020-04-08,2020-04-06,92115,28
2020-04-08,2020-04-06,92116,35
2020-04-08,2020-04-06,92117,21
2020-04-08,2020-04-06,92118,4
2020-04-08,2020-04-06,92119,8
2020-04-08,2020-04-06,92120,20
2020-04-08,2020-04-06,92121,3
2020-04-08,2020-04-06,92122,14
2020-04-08,2020-04-06,92123,17
2020-04-08,2020-04-06,92124,14
2020-04-08,2020-04-06,92126,28
2020-04-08,2020-04-06,92127,20
2020-04-08,2020-04-06,92128,26
2020-04-08,2020-04-06,92129,18
2020-04-08,2020-04-06,92130,22
2020-04-08,2020-04-06,92131,6
2020-04-08,2020-04-06,92136,2
2020-04-08,2020-04-06,92139,20
2020-04-08,2020-04-06,92145,1
2020-04-08,2020-04-06,92154,41
2020-04-08,2020-04-06,92161,2
2020-04-08,2020-04-06,92168,1
2020-04-08,2020-04-06,92173,18
2020-04-08,2020-04-06,92196,1
2020-04-08,2020-04-06,Unknown*,38
2020-04-08,2020-04-06,TOTAL,1454
2020-04-08,2020-04-07,91901,1
2020-04-08,2020-04-07,91902,16
2020-04-08,2020-04-07,91910,39
2020-04-08,2020-04-07,91911,38
2020-04-08,2020-04-07,91913,28
2020-04-08,2020-04-07,91914,7
2020-04-08,2020-04-07,91915,16
2020-04-08,2020-04-07,91916,1
2020-04-08,2020-04-07,91932,9
2020-04-08,2020-04-07,91935,3
2020-04-08,2020-04-07,91941,9
2020-04-08,2020-04-07,91942,20
2020-04-08,2020-04-07,91945,14
2020-04-08,2020-04-07,91950,28
2020-04-08,2020-04-07,91977,32
2020-04-08,2020-04-07,91978,5
2020-04-08,2020-04-07,92004,1
2020-04-08,2020-04-07,92007,4
2020-04-08,2020-04-07,92008,8
2020-04-08,2020-04-07,92009,17
2020-04-08,2020-04-07,92010,10
2020-04-08,2020-04-07,92011,8
2020-04-08,2020-04-07,92014,13
2020-04-08,2020-04-07,92019,35
2020-04-08,2020-04-07,92020,50
2020-04-08,2020-04-07,92021,45
